City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,East London,ZA,-33.0153,27.9116,65.14,84,2,12.17,clear sky
80,Mattru,SL,7.6244,-11.8332,87.51,65,94,7.02,overcast clouds
81,Norman Wells,CA,65.282,-126.8329,35.64,80,75,8.05,broken clouds
82,Bluff,NZ,-46.6,168.3333,35.8,86,16,7.54,few clouds
83,Bambanglipuro,ID,-7.95,110.2833,78.96,86,79,1.41,broken clouds
84,Dikson,RU,73.5069,80.5464,32.02,99,100,8.79,overcast clouds
85,Nichinan,JP,31.6,131.3667,56.64,84,100,0.76,overcast clouds
86,Atuona,PF,-9.8,-139.0333,78.04,78,14,18.61,light rain
87,Wamba,NG,8.9333,8.6,92.55,38,69,6.87,broken clouds
88,Pevek,RU,69.7008,170.3133,13.03,93,100,3.65,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,64.89,87,98,13.4,overcast clouds
90,Dakar,SN,14.6937,-17.4441,85.08,77,3,9.15,clear sky
91,Cuenca,EC,-2.8833,-78.9833,56.64,96,98,2.48,light rain
92,Bredasdorp,ZA,-34.5322,20.0403,56.91,91,0,6.26,clear sky
93,Broken Hill,AU,-31.95,141.4333,56.39,52,0,5.84,clear sky
94,Vaini,TO,-21.2,-175.2,68.16,83,20,5.75,few clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,58,1.01,broken clouds
96,Kirakira,SB,-10.4544,161.9205,77.9,85,87,5.91,overcast clouds
97,Tuburan,PH,6.6439,122.2736,81.27,81,97,2.55,overcast clouds
98,Kirillov,RU,59.863,38.3813,48.29,79,100,5.91,overcast clouds
99,Saint-Pierre,RE,-21.3393,55.4781,71.91,73,0,8.05,clear sky
100,Harindanga,IN,22.0383,88.3214,86.02,75,64,20.6,broken clouds
101,Georgetown,MY,5.4112,100.3354,82.33,94,20,0.0,few clouds
102,Oistins,BB,13.0667,-59.5333,84.29,74,75,21.85,broken clouds
103,Avera,US,33.194,-82.5271,83.37,46,100,4.72,overcast clouds
104,Lithakia,GR,37.7167,20.8333,74.48,60,20,2.3,few clouds
105,Finschhafen,PG,-6.6024,147.8681,80.55,83,85,11.05,heavy intensity rain
106,Raha,IN,26.2333,92.5167,78.08,85,100,2.91,overcast clouds
107,Rovaniemi,FI,66.5,25.7167,47.61,66,100,6.91,overcast clouds
108,Constitucion,CL,-35.3333,-72.4167,64.17,43,76,4.5,broken clouds
109,Cherskiy,RU,68.75,161.3,21.0,91,100,4.09,overcast clouds
110,Rawson,AR,-43.3002,-65.1023,53.83,62,17,20.78,few clouds
111,Lima,PE,-12.0432,-77.0282,62.85,77,100,5.75,overcast clouds
112,Salvador,SV,13.8333,-88.9167,88.05,26,69,2.89,broken clouds
113,Leningradskiy,RU,69.3833,178.4167,17.51,93,99,5.3,overcast clouds
114,Lebu,CL,-37.6167,-73.65,57.51,44,100,2.91,overcast clouds
115,Port Macquarie,AU,-31.4333,152.9167,65.89,93,96,4.52,overcast clouds
116,Tsogni,GA,-2.7942,10.0988,78.26,87,93,6.44,light rain
117,Camana,PE,-16.6228,-72.7111,69.76,70,30,10.6,scattered clouds
118,Bukama,CD,-9.2,25.85,74.71,55,8,3.02,clear sky
119,Walvis Bay,NA,-22.9575,14.5053,76.15,38,0,3.44,clear sky
120,Kruisfontein,ZA,-34.0033,24.7314,63.88,86,1,5.55,clear sky
121,Girne,CY,35.3417,33.3167,69.35,82,0,21.41,clear sky
122,Nabire,ID,-3.3667,135.4833,75.85,91,99,2.37,overcast clouds
123,Russell,US,32.3502,-85.1999,86.97,57,75,0.0,broken clouds
124,Alofi,NU,-19.0595,-169.9187,62.49,94,100,0.0,overcast clouds
125,Bethel,US,41.3712,-73.414,77.43,73,75,9.22,broken clouds
126,Kushmurun,KZ,52.4503,64.6311,56.3,90,100,9.73,light rain
127,Grindavik,IS,63.8424,-22.4338,55.35,93,100,21.85,overcast clouds
128,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,14.97,light snow
129,Cao Bang,VN,22.6667,106.25,65.1,74,96,5.17,overcast clouds
130,Camacha,PT,33.0833,-16.3333,71.02,53,0,8.05,clear sky
131,Half Moon Bay,US,37.4636,-122.4286,70.88,81,100,20.71,fog
132,Alice Springs,AU,-23.7,133.8833,60.35,59,75,4.61,broken clouds
133,Nuuk,GL,64.1835,-51.7216,29.01,64,0,11.5,clear sky
134,Kloulklubed,PW,7.0419,134.2556,73.9,73,15,2.89,few clouds
135,Ilulissat,GL,69.2167,-51.1,26.62,43,5,5.75,clear sky
136,Tambun,ID,-6.2641,107.0712,78.69,83,100,1.95,overcast clouds
137,Surok,RU,56.4469,48.1214,47.89,85,90,4.05,overcast clouds
138,Harper,LR,4.375,-7.7169,82.65,80,96,7.43,light rain
139,Margherita,IN,27.2833,95.6833,72.45,97,100,1.95,overcast clouds
