City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Rawson,AR,53.83,few clouds,-43.3002,-65.1023,
111,Lima,PE,62.85,overcast clouds,-12.0432,-77.0282,
112,Salvador,SV,88.05,broken clouds,13.8333,-88.9167,
114,Lebu,CL,57.51,overcast clouds,-37.6167,-73.65,
115,Port Macquarie,AU,65.89,overcast clouds,-31.4333,152.9167,
116,Tsogni,GA,78.26,light rain,-2.7942,10.0988,
117,Camana,PE,69.76,scattered clouds,-16.6228,-72.7111,
118,Bukama,CD,74.71,clear sky,-9.2,25.85,
120,Kruisfontein,ZA,63.88,clear sky,-34.0033,24.7314,
121,Girne,CY,69.35,clear sky,35.3417,33.3167,
122,Nabire,ID,75.85,overcast clouds,-3.3667,135.4833,
123,Russell,US,86.97,broken clouds,32.3502,-85.1999,
124,Alofi,NU,62.49,overcast clouds,-19.0595,-169.9187,
125,Bethel,US,77.43,broken clouds,41.3712,-73.414,
126,Kushmurun,KZ,56.3,light rain,52.4503,64.6311,
127,Grindavik,IS,55.35,overcast clouds,63.8424,-22.4338,
129,Cao Bang,VN,65.1,overcast clouds,22.6667,106.25,
130,Camacha,PT,71.02,clear sky,33.0833,-16.3333,
131,Half Moon Bay,US,70.88,fog,37.4636,-122.4286,
132,Alice Springs,AU,60.35,broken clouds,-23.7,133.8833,
134,Kloulklubed,PW,73.9,few clouds,7.0419,134.2556,
136,Tambun,ID,78.69,overcast clouds,-6.2641,107.0712,
137,Surok,RU,47.89,overcast clouds,56.4469,48.1214,
138,Harper,LR,82.65,light rain,4.375,-7.7169,
139,Margherita,IN,72.45,overcast clouds,27.2833,95.6833,
140,Ilebo,CD,80.74,broken clouds,-4.3167,20.5833,
141,Butaritari,KI,80.55,light rain,3.0707,172.7902,
142,Severo-Kurilsk,RU,36.88,moderate rain,50.6789,156.125,
143,Nenjiang,CN,42.17,broken clouds,49.1833,125.2167,
145,Tarkwa,GH,84.36,light rain,5.3064,-1.9847,
146,Mackay,AU,67.68,clear sky,-21.15,149.2,
147,Ligaya,PH,78.89,light rain,12.6599,120.8923,
148,Kavaratti,IN,80.51,overcast clouds,10.5669,72.642,
149,Lucapa,AO,74.1,scattered clouds,-8.4192,20.7447,
150,Takoradi,GH,83.26,scattered clouds,4.8845,-1.7554,
151,Honiara,SB,76.68,scattered clouds,-9.4333,159.95,
152,Meulaboh,ID,75.63,overcast clouds,4.1363,96.1285,
153,Awjilah,LY,83.53,clear sky,29.1081,21.2869,
154,Maholi,IN,94.84,clear sky,27.6667,80.4667,
155,Awbari,LY,84.43,clear sky,26.5921,12.7805,
156,Bengkulu,ID,77.45,overcast clouds,-3.8004,102.2655,
157,Jinchang,CN,52.75,clear sky,38.4953,102.1739,
158,Jalu,LY,83.57,clear sky,29.0331,21.5482,
159,Dorado,PR,88.47,broken clouds,18.4588,-66.2677,
160,Kandrian,PG,77.22,broken clouds,-6.2167,149.55,
161,Konya,TR,51.28,overcast clouds,38.1667,32.5,
163,Puerto Narino,CO,73.72,moderate rain,-3.7703,-70.3831,
164,Sao Lourenco,BR,63.77,overcast clouds,-22.1164,-45.0544,
165,Berehove,UA,64.99,few clouds,48.2056,22.6442,
166,Hamilton,US,84.22,clear sky,39.1834,-84.5333,
167,Vredendal,ZA,70.65,clear sky,-31.6683,18.5012,
169,Venado Tuerto,AR,62.76,clear sky,-33.7456,-61.9688,
170,Jumla,NP,55.58,scattered clouds,29.2747,82.1838,
171,Mae Hong Son,TH,77.68,scattered clouds,19.3003,97.9685,
172,Abu Kamal,SY,93.81,broken clouds,34.4506,40.9171,
173,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,
174,Vardo,NO,39.18,broken clouds,70.3705,31.1107,
175,Faanui,PF,80.29,few clouds,-16.4833,-151.75,
176,Baleshwar,IN,86.86,broken clouds,21.4942,86.9317,
177,Hasaki,JP,59.29,light rain,35.7333,140.8333,
178,Moscow,RU,55.83,light rain,55.7522,37.6156,
179,Taltal,CL,63.7,few clouds,-25.4,-70.4833,
180,Kapaa,US,75.52,broken clouds,22.0752,-159.319,
181,Port Elizabeth,ZA,66.09,clear sky,-33.918,25.5701,
182,Tacoronte,ES,70.12,clear sky,28.4769,-16.4102,
183,Bubaque,GW,79.88,overcast clouds,11.2833,-15.8333,
184,Sayyan,YE,68.34,clear sky,15.1718,44.3244,
185,Pisco,PE,64.45,mist,-13.7,-76.2167,
186,Balabagan,PH,77.77,overcast clouds,7.5264,124.1142,
187,Sao Filipe,CV,79.21,broken clouds,14.8961,-24.4956,
188,Wassenberg,DE,80.4,overcast clouds,51.1,6.15,
189,Chimbote,PE,68.7,scattered clouds,-9.0853,-78.5783,
190,Santa Helena De Goias,BR,86.52,few clouds,-17.8136,-50.5969,
191,Buluang,PH,77.95,overcast clouds,13.3068,123.3425,
192,Berlevag,NO,39.2,overcast clouds,70.8578,29.0864,
194,Gorontalo,ID,77.41,broken clouds,0.5412,123.0595,
195,Bandarbeyla,SO,82.69,clear sky,9.4942,50.8122,
196,Beringovskiy,RU,38.1,overcast clouds,63.05,179.3167,
197,Husavik,IS,52.12,overcast clouds,66.0449,-17.3389,
198,Port Maria,JM,88.05,overcast clouds,18.3685,-76.8895,
199,Canyon,US,89.04,clear sky,34.9803,-101.9188,
200,Hobyo,SO,81.66,light rain,5.3505,48.5268,
201,Hornepayne,CA,63.25,few clouds,49.2138,-84.7705,
202,Waregem,BE,81.37,broken clouds,50.8811,3.4026,
203,Derzhavinsk,KZ,59.59,overcast clouds,51.1,66.3167,
204,Sawakin,SD,89.64,clear sky,19.1059,37.3321,
205,Gat,IL,69.82,clear sky,31.61,34.7642,
206,Hambantota,LK,80.04,overcast clouds,6.1241,81.1185,
209,Oswego,US,80.53,broken clouds,43.4501,-76.1497,
210,Ransang,PH,79.43,broken clouds,8.9603,117.5828,
211,Presidencia Roque Saenz Pena,AR,69.75,clear sky,-26.7852,-60.4388,
212,Souillac,MU,73.78,light rain,-20.5167,57.5167,
213,Ulaangom,MN,59.05,broken clouds,49.9811,92.0667,
214,Cabo San Lucas,MX,92.5,clear sky,22.8909,-109.9124,
215,Bereda,ES,70.41,overcast clouds,43.2686,-7.5406,
216,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,
217,Rocha,UY,60.33,overcast clouds,-34.4833,-54.3333,
218,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,
219,Provideniya,RU,35.19,broken clouds,64.3833,-173.3,
220,Ampanihy,MG,68.86,clear sky,-24.7,44.75,
221,Murray Bridge,AU,58.12,scattered clouds,-35.1167,139.2667,
222,Kholmogory,RU,56.71,overcast clouds,64.2229,41.656,
223,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,
224,Oda,JP,54.32,overcast clouds,35.1833,132.5,
225,Paita,PE,71.24,overcast clouds,-5.0892,-81.1144,
226,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,
227,Hilo,US,75.27,light rain,19.7297,-155.09,
228,Tezu,IN,71.35,overcast clouds,27.9167,96.1667,
229,Doha,QA,85.98,clear sky,25.2867,51.5333,
231,Sobolevo,RU,48.54,broken clouds,54.4299,31.8996,
232,Varhaug,NO,57.85,overcast clouds,58.6147,5.6457,
233,Dingle,PH,77.45,overcast clouds,10.9995,122.6711,
234,San Patricio,US,90.07,clear sky,28.017,-97.5169,
236,Ozinki,RU,51.57,broken clouds,51.1786,49.6769,
237,Xiaoshan,CN,61.84,clear sky,30.1675,120.2588,
238,Coleraine,GB,64.31,broken clouds,55.1333,-6.6667,
239,Ferme-Neuve,CA,72.45,moderate rain,46.7001,-75.4493,
240,Nakhon Si Thammarat,TH,78.06,overcast clouds,8.25,100.0,
241,Durban,ZA,69.03,clear sky,-29.8579,31.0292,
242,Moron,AR,59.95,clear sky,-34.6534,-58.6198,
243,Marienburg,PL,60.87,few clouds,54.0359,19.0266,
244,Xining,CN,37.72,broken clouds,36.6167,101.7667,
245,Carlsbad,US,93.56,clear sky,33.1581,-117.3506,
246,Haines Junction,CA,40.95,overcast clouds,60.7522,-137.5108,
247,Pochutla,MX,91.81,scattered clouds,15.7432,-96.4661,
248,Kenora,CA,49.17,overcast clouds,49.8167,-94.4337,
249,Haapiti,PF,76.73,moderate rain,-17.5667,-149.8667,
250,Karpogory,RU,55.65,scattered clouds,64.0019,44.4451,
251,Ritchie,ZA,56.41,clear sky,-29.038,24.6028,
252,Namibe,AO,72.66,clear sky,-15.1961,12.1522,
254,Whitehorse,CA,41.09,few clouds,60.7161,-135.0538,
255,Hami,CN,70.92,scattered clouds,42.8,93.45,
256,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,
257,Denpasar,ID,80.26,few clouds,-8.65,115.2167,
258,Bahia Blanca,AR,55.11,broken clouds,-38.7196,-62.2724,
259,Lenger,KZ,63.84,clear sky,42.183,69.8839,
260,Santa Maria,BR,57.29,overcast clouds,-29.6842,-53.8069,
261,Barranca,PE,67.37,broken clouds,-10.75,-77.7667,
262,Sault Sainte Marie,CA,70.09,clear sky,46.5168,-84.3333,
264,Sorland,NO,42.66,overcast clouds,67.667,12.6934,
265,Qostanay,KZ,59.29,broken clouds,53.1667,63.5833,
266,Tonantins,BR,79.48,moderate rain,-2.8731,-67.8022,
267,Vanderhoof,CA,50.23,overcast clouds,54.0166,-124.0198,
268,Valparaiso,CL,61.03,mist,-33.0393,-71.6273,
269,Sitka,US,46.29,overcast clouds,57.0531,-135.33,
270,Gemunden,DE,76.59,overcast clouds,50.05,9.7,
272,Znamenskoye,RU,55.15,broken clouds,57.1281,73.8282,
273,Kendari,ID,77.52,broken clouds,-3.945,122.4989,
274,Bridgend,GB,61.0,overcast clouds,51.5058,-3.5772,
275,Yarmouth,US,75.67,scattered clouds,41.7057,-70.2286,
276,Daru,PG,76.77,clear sky,-9.0763,143.2092,
277,Kaitangata,NZ,41.86,few clouds,-46.2817,169.8464,
278,Mikuni,JP,51.71,overcast clouds,36.2171,136.1519,
279,Kapoeta,SS,87.15,overcast clouds,4.7717,33.5903,
280,Cockburn Town,TC,79.25,broken clouds,21.4612,-71.1419,
281,Goderich,CA,64.72,broken clouds,43.7501,-81.7165,
282,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,
283,Castro,BR,58.46,overcast clouds,-24.7911,-50.0119,
284,Great Yarmouth,GB,62.46,overcast clouds,52.6083,1.7305,
285,Lahij,YE,85.23,clear sky,13.1667,44.5833,
286,Ahuimanu,US,76.35,scattered clouds,21.4447,-157.8378,
